8.068275338408538;0.0	9.340082026222262;0.0	8.249536390997058;0.0	7.551726685153829;0.0	7.024382737253898;0.0	
8.413628944314198;0.0	9.518048120116003;0.0	8.485527438014358;0.0	7.861452715131293;0.0	8.581185034373533;0.0	
8.634712474191026;0.0	9.379787821139603;0.0	8.533312054542755;0.0	7.178966764134898;0.0	8.412248409345183;0.0	
8.95726742081836;0.0	9.765977343619449;0.0	7.473167336000859;0.0	7.735655268553891;0.0	7.671177752914608;0.0	
9.212700233066549;0.0	9.95852061775722;0.0	7.5500659478952645;0.0	8.42310495352441;0.0	8.227324842634959;0.0	
9.035543692955025;0.0	9.811801497391325;0.0	8.022260343469563;0.0	7.636160562312902;0.0	6.896790611780673;0.0	
8.116410004783495;0.0	10.153836042959773;0.0	9.160305816917743;0.0	8.343528865212464;0.0	8.378507861077653;0.0	
8.053655698275;0.0	9.496302086757884;0.0	7.8952769640798595;0.0	7.641195517641588;0.0	7.939774532714427;0.0	
6.044531866983362;0.0	8.841579279713056;0.0	7.217322314459249;0.0	7.209434206876528;0.0	7.17769070565405;0.0	
8.6440908695266;0.0	10.171373212532393;0.0	9.649179006929236;0.0	7.821634263924622;0.0	8.104202679362468;0.0	
8.514333543652947;0.0	10.148483154329663;0.0	10.112834202177506;0.0	7.640950531393322;0.0	7.641850109282573;0.0	
8.083862103156594;0.0	9.955653958721385;0.0	8.69789854654053;0.0	8.602578900326854;0.0	7.771264936752893;0.0	
9.105705420610464;0.0	9.369594831944598;0.0	7.9334534598177004;0.0	7.952024698005665;0.0	8.517837559815664;0.0	
7.657457439163546;0.0	9.119678026603221;0.0	7.887565987756817;0.0	7.505045406293516;0.0	7.141978979326031;0.0	
8.804497986396692;0.0	9.686920894057172;0.0	7.8709236572512316;0.0	7.319349633446631;0.0	6.940115034921618;0.0	
7.776264732868979;0.0	9.740183437684419;0.0	9.921132181319866;0.0	9.47251533186739;0.0	7.974964394311356;0.0	
8.104550291556002;0.0	10.100804036766116;0.0	9.778419783255613;0.0	9.512220994364398;0.0	9.305953954755836;0.0	
9.241772545157938;0.0	10.433079621660758;0.0	8.720248243737315;0.0	8.228952142637054;0.0	9.00522540607885;0.0	
9.704139494322;0.0	9.596831633460331;0.0	7.953566485850952;0.0	8.170169778773124;0.0	8.0257113871558;0.0	
7.788331825008734;0.0	9.242460371827102;0.0	7.7430762814562355;0.0	7.147216628109072;0.0	7.2133393898696525;0.0	
